epoch,count_loss,loss,mae,val_count_loss,val_loss,val_mae
0,15.876877784729004,13836.8134765625,0.0005377471097745001,6.9150190353393555,51.6768913269043,0.0004106687556486577
1,6.792411804199219,47.591636657714844,0.000428972503868863,6.4172163009643555,46.80602264404297,0.00038408153341151774
2,6.231980800628662,40.328426361083984,0.00042934584780596197,5.82308292388916,33.099464416503906,0.0004470698768272996
3,5.708879470825195,33.23776626586914,0.00043064492638222873,5.572061538696289,33.996551513671875,0.000396415067370981
4,5.107738494873047,26.786514282226562,0.0004307121562305838,4.360286712646484,19.62384033203125,0.00043670766171999276
5,4.633081912994385,22.211000442504883,0.0004305109032429755,4.234942436218262,18.87477684020996,0.0004255968378856778
6,4.060857772827148,17.50021743774414,0.00042825177661143243,3.1914660930633545,11.79277515411377,0.0004227628232911229
7,3.2721307277679443,11.915298461914062,0.0004235294763930142,2.789173126220703,9.683029174804688,0.0004345949273556471
8,2.9701426029205322,10.189657211303711,0.0004228611651342362,2.5559773445129395,7.368861675262451,0.00043073060805909336
9,2.7385241985321045,8.62463665008545,0.00042260787449777126,2.5083863735198975,6.965328216552734,0.00043578672921285033
10,2.5205435752868652,7.123703956604004,0.00042293054866604507,3.5474154949188232,13.068740844726562,0.00046869285870343447
11,2.419412851333618,6.711565017700195,0.0004242919967509806,2.143711566925049,5.3264970779418945,0.00042472092900425196
12,2.205979585647583,5.477401256561279,0.00042463987483642995,2.2595953941345215,6.462270736694336,0.000418162060668692
13,2.081623077392578,4.707268238067627,0.00042545096948742867,1.9212565422058105,4.372923374176025,0.0004205825971439481
14,2.007938861846924,4.49683141708374,0.00042620094609446824,1.8993136882781982,3.854501962661743,0.0004391697875689715
15,1.8545390367507935,3.7891788482666016,0.00042695895535871387,1.7352765798568726,3.3751261234283447,0.00042836202192120254
16,1.682263731956482,2.861241340637207,0.00042702091741375625,1.6763014793395996,3.2484283447265625,0.0004291721270419657
17,1.568742275238037,2.4846158027648926,0.00042729452252388,1.7008122205734253,3.020540714263916,0.00043771363561972976
18,1.4868929386138916,2.1870410442352295,0.0004274511884432286,1.5381280183792114,2.569141387939453,0.0004282677255105227
19,1.404659390449524,1.9834668636322021,0.0004274945240467787,1.5373432636260986,2.2308061122894287,0.00043900072341784835
20,1.3374230861663818,1.7584152221679688,0.0004275606479495764,1.598178744316101,2.899700403213501,0.0004182150005362928
